contentid,contenttypeid,roomcode,roomtitle,roomsize1,roomcount,roombasecount,roommaxcount,roomoffseasonminfee1,roomoffseasonminfee2,roompeakseasonminfee1,roompeakseasonminfee2,roomintro,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomsize2,roomimg1,roomimg1alt,cpyrhtDivCd1,roomimg2,roomimg2alt,cpyrhtDivCd2,roomimg3,roomimg3alt,cpyrhtDivCd3,roomimg4,roomimg4alt,cpyrhtDivCd4,roomimg5,roomimg5alt,cpyrhtDivCd5
138491,32,,Episode G-1/ G-2,70,2,4,6,419000,599000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,231,,,,,,,,,,,,,,,
138491,32,,Episode B-1,20,1,2,4,189000,309000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,66,,,,,,,,,,,,,,,
138491,32,,Episode C-1,17,1,2,3,139000,249000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,56,,,,,,,,,,,,,,,
2950205,32,57453,SKYFORT,64,0,2,10,440000,560000,800000,800000,,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,211.57,,,,,,,,,,,,,,,
2950205,32,57454,HIGH-END VILLA,25,0,3,8,390000,600000,1200000,1200000,,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,84.3,,,,,,,,,,,,,,,
2950205,32,57455,MARIS,50,0,4,6,190000,490000,700000,700000,,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,165.29,,,,,,,,,,,,,,,
2639707,32,50771,슈페리어 킹,30,52,2,2,300000,300000,300000,300000,"※ 객실 가격 전화문의 요망<br>※ 위 정보는 2023년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,99,http://tong.visitkorea.or.kr/cms/resource/92/2639692_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_슈페리어 킹1,Type3,,,,,,,,,,,,
2639707,32,50772,슈페리어 트윈,30,18,2,2,300000,300000,300000,300000,"※ 객실 가격 전화문의 요망<br>※ 위 정보는 2023년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,99,http://tong.visitkorea.or.kr/cms/resource/91/2639691_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_슈페리어 킹2,Type3,,,,,,,,,,,,
2639707,32,50773,프리미엄 킹,30,90,2,2,330000,330000,330000,330000,"※ 객실 가격 전화문의 요망<br>※ 위 정보는 2023년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,99,http://tong.visitkorea.or.kr/cms/resource/02/2639702_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_프리미엄 킹,Type3,,,,,,,,,,,,
2639707,32,50774,프리미엄 트윈,30,27,2,2,330000,330000,330000,330000,"※ 객실 가격 전화문의 요망<br>※ 위 정보는 2023년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,99,,,,http://tong.visitkorea.or.kr/cms/resource/03/2639703_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_프리미엄 트윈,Type3,,,,,,,,,
2639707,32,50775,레지덴셜,35,12,2,2,360000,360000,360000,360000,"※ 객실 가격 전화문의 요망<br>※ 위 정보는 2023년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,115,http://tong.visitkorea.or.kr/cms/resource/96/2639696_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_코너 프리미엄1,Type3,http://tong.visitkorea.or.kr/cms/resource/95/2639695_image2_1.jpg,포포인츠 바이 쉐라톤 서울 구로_코너 프리미엄2,Type3,,,,,,,,,
