contentid,contenttypeid,roomcode,roomtitle,roomsize1,roomcount,roombasecount,roommaxcount,roomoffseasonminfee1,roomoffseasonminfee2,roompeakseasonminfee1,roompeakseasonminfee2,roomintro,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomsize2,roomimg1,roomimg1alt,cpyrhtDivCd1,roomimg2,roomimg2alt,cpyrhtDivCd2,roomimg3,roomimg3alt,cpyrhtDivCd3,roomimg4,roomimg4alt,cpyrhtDivCd4,roomimg5,roomimg5alt,cpyrhtDivCd5
2865111,32,56528,트리플,0,0,3,3,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2877896,32,56927,스탠다드더블,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2877896,32,56929,스탠다드트윈,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2877896,32,56931,디럭스더블,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2877896,32,56934,수퍼디럭스더블,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
3102097,32,,남자1호실(4인실),0,1,1,4,30000,35000,30000,35000,,,,,Y,Y,,,Y,,,,,,,0,,,,,,,,,,,,,,,
3102097,32,,여자2호실(6인실),0,1,1,4,30000,35000,30000,35000,,,,,Y,Y,,,Y,,,,,,,0,,,,,,,,,,,,,,,
3102097,32,,여자1호실(4인실),0,1,1,4,30000,35000,30000,35000,,,,,Y,Y,,,Y,,,,,,,0,,,,,,,,,,,,,,,
3102097,32,,남자2호실(6인실),0,1,1,6,30000,35000,30000,35000,,,,,Y,Y,,,Y,,,,,,,0,,,,,,,,,,,,,,,
3102097,32,,여자 4인실,0,1,4,4,140000,180000,140000,180000,,,,,Y,Y,,,Y,,,,,,,0,,,,,,,,,,,,,,,
3103195,32,,독채 숙소,17,1,2,4,0,0,0,0,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,57,,,,,,,,,,,,,,,
1894943,32,40560,디럭스 양실,18,10,2,3,880000,880000,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,59,,,,,,,,,,,,,,,
1894943,32,40561,디럭스 한실,18,10,2,4,935000,935000,0,0,※ 객실 가격 전화문의 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,,,Y,Y,59,,,,,,,,,,,,,,,
1894943,32,40562,로얄 스위트 양실,40,2,4,6,1760000,1760000,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,132,,,,,,,,,,,,,,,
1894943,32,40563,로얄 스위트 한실,40,3,4,8,1870000,1870000,0,0,※ 객실 가격 전화문의 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,132,,,,,,,,,,,,,,,
1894943,32,40564,프리지덴셜 스위트,60,1,2,2,7700000,7700000,0,0,※ 객실 가격 전화문의 요망,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,198,,,,,,,,,,,,,,,
3101945,32,,독채,50,1,6,15,300000,450000,330000,480000,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,165,,,,,,,,,,,,,,,
139172,32,13413,마운틴,40,0,2,4,0,0,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,,,Y,Y,,,,Y,12,,,,,,,,,,,,,,,
